model,evaluation_scope,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,equal_constructed_batch_accuracy,errors
snv_logistic_regression,development_grouped_oof,1012,0.9515810276679841,0.9520739719498911,0.9521025152310184,0.2355244942867948,0.08104631682664735,0.03403403484469162,0.9515919885014372,49
sg1_shrinkage_lda,development_grouped_oof,1012,0.9752964426877471,0.9758157169117647,0.9758497182933248,0.10443198175348185,0.040186201785716316,0.013267092966242969,0.9752921509811274,25
sg1_logistic_regression,development_grouped_oof,1012,0.9703557312252964,0.9708095043572985,0.9705912214092587,0.14866651034298964,0.05534425608626784,0.014214427652375006,0.9703787026621673,30
sg1_rbf_svm_group_temperature,development_grouped_oof,1012,0.9476284584980237,0.9483485668572985,0.9480958263563404,0.27030179573990626,0.09928599467671782,0.03363678828549408,0.9476002999625046,53
batch_constrained_sg1_probability_ensemble,development_grouped_oof,1012,0.9822134387351779,0.9824133646514162,0.9823958626309626,0.1054694419521023,0.04278948892702784,0.04399102889860949,0.9822053493313336,18
