estimand,model,calibration,suffix_1_to_2_balanced_accuracy,suffix_2_to_1_balanced_accuracy,theta,estimand_role,weighting,probability_estimator
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,raw,0.4197916666666667,0.4684027777777778,0.44409722222222225,sensitivity_raw,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,temperature_scaled,0.4385416666666667,0.48020833333333335,0.45937500000000003,primary,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,raw,0.8492476851851852,0.8881944444444445,0.8687210648148149,sensitivity_raw,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,temperature_scaled,0.8476851851851852,0.8911458333333333,0.8694155092592593,primary,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,raw,0.5247685185185186,0.36440972222222223,0.4445891203703704,sensitivity_raw,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,temperature_scaled,0.5293981481481482,0.36562500000000003,0.44751157407407416,primary,8 class/source-cubes equal within each direction; two directions equal,prespecified-seed probability ensemble
