sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
27,0-1/28,0-1,0,1.6369299160601258e-07,3.335672164178627e-08,4.328871248065383e-08,1e-05,1
28,0-1/29,0-1,0,1.3133226783867968e-07,3.271258461051583e-08,4.2334351399934914e-08,1e-05,1
29,0-1/30,0-1,0,1.1296499391466597e-07,2.6649039740087542e-08,3.289862977635635e-08,1e-05,1
30,0-1/31,0-1,0,1.8485494579500994e-07,3.285621798441797e-08,4.284024777897239e-08,1e-05,1
31,0-1/32,0-1,0,1.476020425883462e-07,3.149544936347657e-08,4.163003736635526e-08,1e-05,1
32,0-1/33,0-1,0,1.2447471742227378e-07,2.991031735936248e-08,3.80480651289491e-08,1e-05,1
33,0-1/34,0-1,0,1.0736730760019242e-07,2.981994438849267e-08,3.7566968503243044e-08,1e-05,1
34,0-1/35,0-1,0,1.464287437968892e-07,3.042548490191626e-08,3.883486539547781e-08,1e-05,1
35,0-1/36,0-1,0,1.555389217422487e-07,3.197893217975909e-08,4.186010543494127e-08,1e-05,1
36,0-1/37,0-1,0,1.3091133144182976e-07,3.332498318072062e-08,4.2486664469388913e-08,1e-05,1
37,0-1/38,0-1,0,1.4248883939416146e-07,3.1272069207267456e-08,4.005986078137848e-08,1e-05,1
38,0-1/39,0-1,0,1.2862536025171067e-07,3.127002705878766e-08,4.0819937879310396e-08,1e-05,1
39,0-1/40,0-1,0,1.267336386945317e-07,2.4575700200775516e-08,3.2051234967813885e-08,1e-05,1
40,0-1/41,0-1,0,2.0819352830603322e-07,3.903673596574889e-08,5.1014205450570916e-08,1e-05,1
41,0-1/42,0-1,0,1.1233183094816468e-07,3.064276732115582e-08,3.8968231238566194e-08,1e-05,1
42,0-1/43,0-1,0,1.4158578454104287e-07,3.444990556116563e-08,4.446249591524454e-08,1e-05,1
43,0-1/44,0-1,0,1.220001426549544e-07,3.179261040018379e-08,4.075410931542492e-08,1e-05,1
44,0-1/45,0-1,0,1.2226817858174144e-07,3.0012342339380096e-08,3.807736337796817e-08,1e-05,1
45,0-1/46,0-1,0,1.0209790801685159e-07,2.529494300087237e-08,3.243590156734246e-08,1e-05,1
46,0-1/47,0-1,0,1.2524896286780773e-07,3.091000838206905e-08,3.9053566247745405e-08,1e-05,1
47,0-1/48,0-1,0,1.2303232754806714e-07,3.212079303063152e-08,4.042334369222078e-08,1e-05,1
