model_id,role,view,classifier,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,0,127,0.30708661417322836,0.3149290966386555,0.2824720418470419,1.8115523324889948,0.7950654219265085,0.06808521699898952,88
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,1,127,0.2283464566929134,0.2303046218487395,0.2229528635778636,1.923862553342659,0.8336160404456474,0.06331398413106129,98
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,2,127,0.23622047244094488,0.24415703781512604,0.23295816108316109,1.9521417941799586,0.84415387640559,0.08232399420637505,97
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,3,127,0.25984251968503935,0.26890756302521013,0.22927431610942248,1.8501365703347856,0.8147467071418641,0.07807084850067803,94
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,4,126,0.21428571428571427,0.2239819004524887,0.20073983811887036,1.9071913105727227,0.8482797208471867,0.09709526870125376,99
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,5,126,0.30158730158730157,0.3112627262443439,0.27478808418305156,1.788832902663707,0.7919733243551549,0.07883038086710979,88
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,6,126,0.25396825396825395,0.2603223981900452,0.24732349410658236,1.972145207607151,0.8503747940741267,0.07682866061478982,94
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,7,126,0.2698412698412698,0.2854213800904978,0.24222085807522437,1.8524337376408626,0.8027561520354928,0.0829164909450155,92
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,0,127,0.31496062992125984,0.32320115546218486,0.2817126854672106,1.8254785215537344,0.8008012750615721,0.07868636415615558,87
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,1,127,0.25196850393700787,0.25485819327731096,0.24968439506868323,1.9065700074881637,0.8290727951387633,0.05848104071035754,95
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,2,127,0.1968503937007874,0.2033219537815126,0.19612988564601466,1.9418209624730605,0.8460234502540936,0.14971595320613498,102
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,3,127,0.25984251968503935,0.2698266806722689,0.21754960460572154,1.834652122663907,0.8094039898712247,0.06497558687446112,94
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,4,126,0.2222222222222222,0.2322539592760181,0.20696283258674975,1.8781937034600413,0.8355612298516734,0.08761965812179517,98
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,5,126,0.29365079365079366,0.3029906674208145,0.2666580404882488,1.8064112483097186,0.7980520819303765,0.09686252902570201,89
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,6,126,0.2222222222222222,0.22772907239819004,0.2163280676438571,1.9825628607372556,0.8538379187435822,0.05087240094351381,98
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,7,126,0.2777777777777778,0.2932338800904978,0.25113136874053477,1.86097790302276,0.8035411061035179,0.09342446678771145,91
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,0,127,0.2440944881889764,0.24888392857142858,0.2159821352715435,1.915750698039212,0.8347437642396136,0.05465674274643155,96
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,1,127,0.2440944881889764,0.2459296218487395,0.2297855547855548,1.9451170187634543,0.8380274602016035,0.07579922612293796,96
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,2,127,0.2677165354330709,0.2720588235294118,0.2779198232323232,1.9078137027417037,0.8337504881832206,0.06983230383323565,93
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,3,127,0.33858267716535434,0.34841123949579833,0.29223195506090244,1.8004869893287265,0.7948359869678313,0.11189779983151693,84
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,4,126,0.23809523809523808,0.2442731900452489,0.2272050931870137,1.8938879675311178,0.8316310323722661,0.04730987344728143,96
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,5,126,0.2857142857142857,0.29471860859728505,0.2539518043539446,1.862383918690221,0.8146787545148694,0.05305630725025014,90
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,6,126,0.18253968253968253,0.19004524886877827,0.1656956675389855,1.937846510155631,0.837487901743729,0.0752199304243859,103
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,7,126,0.31746031746031744,0.3322963800904978,0.26462711417367923,1.8634630228091715,0.8165490984173854,0.07923296884223388,86
morphology__extra_trees,development_mat_view_candidate,morphology,extra_trees,0,127,0.2125984251968504,0.21940651260504201,0.20615030615030613,1.9168858795088002,0.8313512106733272,0.11967782398139282,100
