direction,model,condition,calibration,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,nll_mean,nll_sd,nll_min,nll_max,brier_mean,brier_sd,brier_min,brier_max,ece_10_mean,ece_10_sd,ece_10_min,ece_10_max
suffix_1_to_2,fusion_net,full,raw,3,0.33876221498371334,0.0905045211039075,0.28013029315960913,0.44299674267100975,0.3568479938271605,0.08590993083576871,0.3018518518518518,0.4558449074074074,0.2996960397305259,0.12741339245754094,0.22607960284005962,0.4468203392437672,1.7610568411859238,0.262722708947898,1.4586134589700086,1.9327534489547684,0.7774962932319526,0.08507069292749336,0.6799680073970306,0.8364190724624323,0.05793356284512474,0.01817942335938802,0.036943969886908574,0.06869136933576192
suffix_1_to_2,fusion_net,full,temperature_scaled,3,0.33876221498371334,0.0905045211039075,0.28013029315960913,0.44299674267100975,0.3568479938271605,0.08590993083576871,0.3018518518518518,0.4558449074074074,0.2996960397305259,0.12741339245754094,0.22607960284005962,0.4468203392437672,1.7482663232644677,0.254981403554941,1.453861378938669,1.8986013225605443,0.7743644538963262,0.08184538342195344,0.6800621597099368,0.8268984228214513,0.03851699973041146,0.004800703821696426,0.03303236639795953,0.04195634945903018
suffix_1_to_2,fusion_net,mask_only,raw,3,0.23995656894679696,0.049247467844415214,0.18403908794788273,0.2768729641693811,0.2638117283950618,0.04526233762227749,0.2126736111111111,0.2987268518518519,0.18826111298336468,0.051205637837981016,0.12916061594168338,0.21934947185919818,2.346506504789211,0.6873127574709954,1.9149455087466793,3.139101666808773,0.8871508529570485,0.08046743122914901,0.8268877442597371,0.9785300667403295,0.12267591798654902,0.10823923244195958,0.04217965632740819,0.2457249868168565
suffix_1_to_2,fusion_net,mask_only,temperature_scaled,3,0.23995656894679696,0.049247467844415214,0.18403908794788273,0.2768729641693811,0.2638117283950618,0.04526233762227749,0.2126736111111111,0.2987268518518519,0.18826111298336468,0.051205637837981016,0.12916061594168338,0.21934947185919818,2.616731603641538,1.2030130388820177,1.9157596982426501,4.005831614883054,0.9057971074517486,0.1274777228233002,0.8271016678874223,1.0528752345479437,0.13874669059853684,0.1755108156216399,0.03535032190196268,0.3413949978531828
suffix_1_to_2,fusion_net,mean_broadcast,raw,3,0.31541802388707924,0.08127563470324406,0.26058631921824105,0.40879478827361565,0.3347029320987654,0.07762106705986317,0.2815972222222222,0.42378472222222224,0.2802215214291281,0.10899541141094954,0.216078607870118,0.40607071911106246,1.7915578969894899,0.2687751714860367,1.4834838604253788,1.9781200410002733,0.7910480913439889,0.08796290596527695,0.6908930572382879,0.8557611706791898,0.04879451702473713,0.028475712477293448,0.020586333094077678,0.07753042263670855
suffix_1_to_2,fusion_net,mean_broadcast,temperature_scaled,3,0.31541802388707924,0.08127563470324406,0.26058631921824105,0.40879478827361565,0.3347029320987654,0.07762106705986317,0.2815972222222222,0.42378472222222224,0.2802215214291281,0.10899541141094954,0.216078607870118,0.40607071911106246,1.780564758689752,0.2432869601428766,1.4997625637591598,1.928117112491031,0.7884879840446298,0.07550594554593405,0.7015150399059354,0.8372591560743544,0.052445044373795685,0.016062235642446486,0.041404121948851395,0.07087166449735559
suffix_1_to_2,fusion_net,spatial_shuffle,raw,3,0.31378935939196523,0.07385474221793248,0.2687296416938111,0.3990228013029316,0.3328896604938271,0.06934875576943665,0.290162037037037,0.41290509259259256,0.27767595016345087,0.10204161967452405,0.21108876877442495,0.39515447182425334,1.7925827689417762,0.2669474071009977,1.4866490159400472,1.9781735973591943,0.7912985571497256,0.08596105905362907,0.6934729709140598,0.8547688116485045,0.05307682472175615,0.03548855692554875,0.023153207650340655,0.09228467476283922
suffix_1_to_2,fusion_net,spatial_shuffle,temperature_scaled,3,0.31378935939196523,0.07385474221793248,0.2687296416938111,0.3990228013029316,0.3328896604938271,0.06934875576943665,0.290162037037037,0.41290509259259256,0.27767595016345087,0.10204161967452405,0.21108876877442495,0.39515447182425334,1.7822896229413807,0.240580930163244,1.5046250599070616,1.9286036679159175,0.7895259205695849,0.07281522670653762,0.7056962462282657,0.8370529333607811,0.05883819410281035,0.021091761379495307,0.04586356942735556,0.08317506481008514
suffix_1_to_2,snv_lr,full,raw,3,0.8344191096634094,0.006780671008033009,0.8289902280130294,0.8420195439739414,0.8403935185185185,0.006505206248331651,0.8351851851851853,0.8476851851851852,0.8278694269288565,0.0075807811508700786,0.8232901906117867,0.8366197872213655,0.8069112210363271,0.17002323433034885,0.6527531405942848,0.9892725716801887,0.270075682290885,0.014271453400739844,0.2598665885374122,0.28638313886640465,0.0973589903655802,0.03299757079784326,0.06271887306457397,0.1284226432908018
suffix_1_to_2,snv_lr,full,temperature_scaled,3,0.8344191096634094,0.006780671008033009,0.8289902280130294,0.8420195439739414,0.8403935185185185,0.006505206248331651,0.8351851851851853,0.8476851851851852,0.8278694269288565,0.0075807811508700786,0.8232901906117867,0.8366197872213655,0.6418729098320982,0.040219922364003874,0.612696588755041,0.6877532238802984,0.2545955586243756,0.010502547501329815,0.2424701984812002,0.26084594875538675,0.05241936386043602,0.024732497425594743,0.03343284931872112,0.08038775653201481
