direction,model,condition,calibration,n,n_correct,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,nll,brier,ece_10
suffix_1_to_2,fusion_net,full,raw,614,247,0.4022801302931596,0.4197916666666667,0.3843087827116275,0.4197916666666667,0.37747100240496645,1.6808856152777087,0.749246584383801,0.09614298242275747
suffix_1_to_2,fusion_net,full,temperature_scaled,614,259,0.4218241042345277,0.4385416666666667,0.4170873658946476,0.4385416666666667,0.413115400922732,1.6576301502118256,0.7369314358301213,0.10873167903219476
suffix_1_to_2,fusion_net,mask_only,raw,614,125,0.20358306188925082,0.2306712962962963,0.12038356380461643,0.2306712962962963,0.14609236844818485,1.9873790489263872,0.8558763893442333,0.11965593424574945
suffix_1_to_2,fusion_net,mask_only,temperature_scaled,614,115,0.18729641693811075,0.2150462962962963,0.10726118411308427,0.2150462962962963,0.13075021061510328,1.9962129970400944,0.8620196001932144,0.14822362671288042
suffix_1_to_2,fusion_net,mean_broadcast,raw,614,241,0.3925081433224756,0.41041666666666665,0.39401345605011395,0.41041666666666665,0.36495626333778386,1.70644537230018,0.7601856123244909,0.07889809814675479
suffix_1_to_2,fusion_net,mean_broadcast,temperature_scaled,614,251,0.40879478827361565,0.42604166666666665,0.4043597215337582,0.42604166666666665,0.39313607601044803,1.6835972597981665,0.7479582818762635,0.08883685563273204
suffix_1_to_2,fusion_net,spatial_shuffle,raw,614,241,0.3925081433224756,0.41041666666666665,0.38680543020274993,0.41041666666666665,0.36576840608130134,1.7075117230138825,0.760313750773431,0.08129019124606769
suffix_1_to_2,fusion_net,spatial_shuffle,temperature_scaled,614,254,0.41368078175895767,0.43072916666666666,0.40861988476501493,0.43072916666666666,0.3978317283394385,1.6859173801440481,0.7487417023623036,0.09479939151312
suffix_1_to_2,snv_lr,full,raw,614,518,0.8436482084690554,0.8492476851851852,0.8751700745248884,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,full,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8730197275311127,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
suffix_1_to_2,snv_lr,mask_only,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,21.750248221306894,1.3231994209192905,0.5363735070575462
suffix_1_to_2,snv_lr,mask_only,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,21.750248221306894,1.3231994209192905,0.5363735070575462
suffix_1_to_2,snv_lr,mean_broadcast,raw,614,518,0.8436482084690554,0.8492476851851852,0.8751700745248884,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,mean_broadcast,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8730197275311127,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
suffix_1_to_2,snv_lr,spatial_shuffle,raw,614,518,0.8436482084690554,0.8492476851851852,0.8751700745248884,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,spatial_shuffle,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8730197275311127,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
suffix_1_to_2,spectral_only,full,raw,614,319,0.5195439739413681,0.5247685185185186,0.46793001892282826,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,full,temperature_scaled,614,321,0.5228013029315961,0.5293981481481482,0.4708142093182496,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_1_to_2,spectral_only,mask_only,raw,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,2.325545826704762,0.9869741987461644,0.31516360804310367
suffix_1_to_2,spectral_only,mask_only,temperature_scaled,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,2.3393756023892074,0.9944985192384292,0.325404403979004
suffix_1_to_2,spectral_only,mean_broadcast,raw,614,319,0.5195439739413681,0.5247685185185186,0.46793001892282826,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,mean_broadcast,temperature_scaled,614,321,0.5228013029315961,0.5293981481481482,0.4708142093182496,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_1_to_2,spectral_only,spatial_shuffle,raw,614,319,0.5195439739413681,0.5247685185185186,0.46793001892282826,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,spatial_shuffle,temperature_scaled,614,321,0.5228013029315961,0.5293981481481482,0.4708142093182496,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_2_to_1,fusion_net,full,raw,650,304,0.4676923076923077,0.4684027777777778,0.46682160862776784,0.4684027777777778,0.4596492962858142,1.3919636483304423,0.6634168072890316,0.05931494921369033
suffix_2_to_1,fusion_net,full,temperature_scaled,650,312,0.48,0.48020833333333335,0.4859236279462021,0.48020833333333335,0.4761336349267058,1.3928805116614018,0.6619679761966324,0.06632346250394583
suffix_2_to_1,fusion_net,mask_only,raw,650,137,0.21076923076923076,0.2046875,0.21013953488372095,0.2046875,0.14107191929191876,2.7526402556519076,0.9615963865879933,0.2150584909185136
suffix_2_to_1,fusion_net,mask_only,temperature_scaled,650,131,0.20153846153846153,0.1953125,0.176653600173337,0.1953125,0.13177096666816088,2.600186548190073,0.9475643845467486,0.20344865993329195
suffix_2_to_1,fusion_net,mean_broadcast,raw,650,149,0.22923076923076924,0.22569444444444442,0.23363670847324383,0.22569444444444442,0.17735772166313832,2.569875735700018,0.9317545566282587,0.19466640371421665
suffix_2_to_1,fusion_net,mean_broadcast,temperature_scaled,650,148,0.2276923076923077,0.22413194444444443,0.2363555221249699,0.22413194444444443,0.17573643439059392,2.4405354732385196,0.9153386018344764,0.17351994813398827
suffix_2_to_1,fusion_net,spatial_shuffle,raw,650,151,0.2323076923076923,0.22795138888888888,0.24278063464710897,0.22795138888888888,0.18095204605557255,2.519714124076374,0.9280079537156446,0.17556317065410085
suffix_2_to_1,fusion_net,spatial_shuffle,temperature_scaled,650,149,0.22923076923076924,0.225,0.23166666666666666,0.225,0.1775382000315655,2.4018115175608568,0.9122066655453843,0.15707227340653543
suffix_2_to_1,snv_lr,full,raw,650,578,0.8892307692307693,0.8881944444444445,0.8918511389708911,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,full,temperature_scaled,650,580,0.8923076923076924,0.8911458333333333,0.893437146789819,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,snv_lr,mask_only,raw,650,90,0.13846153846153847,0.125,0.01730769230769231,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1,snv_lr,mask_only,temperature_scaled,650,90,0.13846153846153847,0.125,0.01730769230769231,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1,snv_lr,mean_broadcast,raw,650,578,0.8892307692307693,0.8881944444444445,0.8918511389708911,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,mean_broadcast,temperature_scaled,650,580,0.8923076923076924,0.8911458333333333,0.893437146789819,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,snv_lr,spatial_shuffle,raw,650,578,0.8892307692307693,0.8881944444444445,0.8918511389708911,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,spatial_shuffle,temperature_scaled,650,580,0.8923076923076924,0.8911458333333333,0.893437146789819,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,spectral_only,full,raw,650,237,0.3646153846153846,0.36440972222222223,0.3546600411245949,0.36440972222222223,0.3014454541268975,1.8576932573483917,0.8122825807225377,0.18476792063214278
