run_id,direction,model,seed,epoch,train_loss,validation_accuracy,validation_macro_f1,validation_nll,learning_rate,selected_so_far
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,1,2.0861852132357086,0.12307692307692308,0.027397260273972605,2.079201899516048,0.001,1
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,2,2.0822215226980356,0.13846153846153847,0.030405405405405407,2.078994583641443,0.001,1
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,3,2.081399283042321,0.12307692307692308,0.027397260273972605,2.079717570782737,0.001,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,4,2.080402895120474,0.12307692307692308,0.027397260273972605,2.079493952465884,0.001,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,5,2.0812233374669002,0.13846153846153847,0.030405405405405407,2.078919186348132,0.001,1
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,6,2.0806186309227575,0.13846153846153847,0.030405405405405407,2.079040828600433,0.001,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,7,2.0803275621854342,0.12307692307692308,0.027397260273972605,2.0791016584079696,0.001,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,8,2.08056845664978,0.12307692307692308,0.027397260273972605,2.0792959437327085,0.001,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,9,2.0804007603571963,0.12307692307692308,0.027397260273972605,2.079458901851055,0.0005,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,10,2.081541259472187,0.12307692307692308,0.027397260273972605,2.079391590469351,0.0005,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,11,2.080401086807251,0.12307692307692308,0.027397260273972605,2.079500347105372,0.0005,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,12,2.0790425924154428,0.12307692307692308,0.027397260273972605,2.079788434380632,0.0005,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,13,2.0812693375807543,0.12307692307692308,0.027397260273972605,2.079322135535936,0.00025,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,1,2.0880851488847,0.13846153846153847,0.04041025641025641,2.077799405971154,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,2,2.0777966939485992,0.23076923076923078,0.13132963393669733,2.055692870653869,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,3,2.0223074289468617,0.19230769230769232,0.12992052881758764,2.0295633412732625,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,4,1.9784660265995906,0.2230769230769231,0.14967439901509752,1.9582144400031645,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,5,1.9207897974894597,0.23076923076923078,0.14549728607918264,1.9205878723385006,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,6,1.904666200050941,0.23076923076923078,0.1540338581669227,1.9358725499171052,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,7,1.8831244927186233,0.2076923076923077,0.1305113837777822,1.9128173968535194,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,8,1.8672318421877347,0.25384615384615383,0.2019147005444646,1.9047718249307248,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,9,1.8422626366982093,0.25384615384615383,0.19933867251674764,1.8930294784310513,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,10,1.85930775312277,0.24615384615384617,0.1740944240944241,1.8770867012022614,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,11,1.8196770154512845,0.2692307692307692,0.21661914297737728,1.8947851402937996,0.001,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,12,1.8062876004439135,0.25384615384615383,0.1949128317334839,1.902872731206761,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,13,1.8116788478998038,0.23076923076923078,0.1673871697216349,1.9021524856098377,0.001,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,14,1.796744179725647,0.2692307692307692,0.20484496124031007,1.910659677855662,0.0005,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,15,1.7706321147771982,0.24615384615384617,0.17777426876994828,1.8735233517300918,0.0005,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,16,1.762258762579698,0.2692307692307692,0.21671134721831317,1.9081304967385064,0.0005,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,17,1.7611841862018291,0.27692307692307694,0.22658836261777437,1.9154396302436703,0.0005,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,18,1.761229368356558,0.23846153846153847,0.1975631395682883,1.9059069981779726,0.0005,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,19,1.751113774226262,0.24615384615384617,0.20752620407608166,1.914273053064822,0.00025,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,20,1.744518938431373,0.2923076923076923,0.24759972170686456,1.9337863855898865,0.00025,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,21,1.7425907868605393,0.27692307692307694,0.22489618582295928,1.9249773804439376,0.00025,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,22,1.7266013072087214,0.24615384615384617,0.19673378522062732,1.9154906402720788,0.00025,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,23,1.7216741195091834,0.23846153846153847,0.18590003660116,1.9315997566896757,0.000125,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,24,1.7284167454792903,0.23076923076923078,0.18129217124699915,1.932719015472447,0.000125,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,25,1.7124300699967605,0.25384615384615383,0.20619307832422587,1.9292067273597484,0.000125,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,26,1.706463701908405,0.24615384615384617,0.1968139864060806,1.9300923042794353,0.000125,0
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,27,1.7030211797127357,0.26153846153846155,0.20699676949676948,1.9318584096111935,6.25e-05,0
