run_id,direction,model,seed,condition,source_cube,calibration,n,n_correct,accuracy,nll,brier,ece_10
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mask_only,7-2,raw,54,44,0.8148148148148148,0.9350733550156176,0.38301880195374793,0.33938906560712034
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mask_only,7-2,temperature_scaled,54,44,0.8148148148148148,0.9295491524833245,0.38004115708609704,0.3358544266740857
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,0-2,raw,80,31,0.3875,2.0564594883469525,0.8737019644735031,0.2807918591661604
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,0-2,temperature_scaled,80,31,0.3875,2.057766079183259,0.8740713984958864,0.28812687960926564
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,1-2,raw,80,9,0.1125,2.127636896824161,0.9214114113946504,0.2875215965189445
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,1-2,temperature_scaled,80,9,0.1125,2.129758709631001,0.9224246822339357,0.2887077320487294
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,2-2,raw,80,0,0.0,2.0217417575895005,0.8941525955370908,0.25997005042731997
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,2-2,temperature_scaled,80,0,0.0,2.0231622394787605,0.8950287168243871,0.2612302794399305
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,3-2,raw,80,48,0.6,1.614010134810843,0.7073180693187536,0.37921893218573954
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,3-2,temperature_scaled,80,48,0.6,1.6123206236890304,0.7061604642426532,0.37812678619867324
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,4-2,raw,80,5,0.0625,2.0459649635575006,0.8971917388042387,0.26839322281139766
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,4-2,temperature_scaled,80,5,0.0625,2.0478288889752,0.898153386343757,0.27969205251623536
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,5-2,raw,80,0,0.0,2.3624143639985555,0.967062863133728,0.269107356103267
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,5-2,temperature_scaled,80,0,0.0,2.3670346351839187,0.9683225338177955,0.27049903393808183
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,6-2,raw,80,33,0.4125,1.8280803747688825,0.8255065405998167,0.293984933135104
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,6-2,temperature_scaled,80,33,0.4125,1.8279474248617498,0.825748211916892,0.2935714272552626
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,7-2,raw,54,44,0.8148148148148148,0.928152081251447,0.3806902528398843,0.3397142753607223
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,mean_broadcast,7-2,temperature_scaled,54,44,0.8148148148148148,0.9225310409013432,0.3776807179312162,0.33617198689352285
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,0-2,raw,80,30,0.375,2.052390978546384,0.870015539678913,0.2736900876739406
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,0-2,temperature_scaled,80,30,0.375,2.053588849447211,0.8703055338966766,0.273512181517467
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,1-2,raw,80,7,0.0875,2.123968430602821,0.9195296857504431,0.27046263916078284
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,1-2,temperature_scaled,80,7,0.0875,2.1260383332979425,0.920514156252155,0.2716640893434815
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,2-2,raw,80,0,0.0,2.018319062952443,0.8927614215321696,0.2573583492605935
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,2-2,temperature_scaled,80,0,0.0,2.019671382165092,0.8936105009045153,0.2585918107748149
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,3-2,raw,80,48,0.6,1.6222505749882867,0.7081768773372974,0.3532790205005356
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,3-2,temperature_scaled,80,48,0.6,1.620654033188972,0.7070288945721905,0.35217796516559846
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,4-2,raw,80,5,0.0625,2.041825770736589,0.8952810775069459,0.2713892154596332
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,4-2,temperature_scaled,80,5,0.0625,2.0436281730588606,0.89620981120399,0.28269042636322705
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,5-2,raw,80,0,0.0,2.366110646026028,0.9670625778419499,0.26874194971612997
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,5-2,temperature_scaled,80,0,0.0,2.3707652044880985,0.9683060772910757,0.2701274446518258
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,6-2,raw,80,34,0.425,1.8237576920506964,0.822828887312229,0.2958135528496274
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,6-2,temperature_scaled,80,34,0.425,1.8235479569118282,0.8230287455972842,0.2953270663883081
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,7-2,raw,54,44,0.8148148148148148,0.9378985806066183,0.3870185633256356,0.3440109364462665
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,spatial_shuffle,7-2,temperature_scaled,54,44,0.8148148148148148,0.9322876290754403,0.3840454045198077,0.3405056381581303
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,0-2,raw,80,62,0.775,0.7448058766111731,0.3587310902116532,0.16230098601350285
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,0-2,temperature_scaled,80,62,0.775,0.7041663015343923,0.3345683113608589,0.09253849872522449
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,1-2,raw,80,13,0.1625,1.7775797016805348,0.8345888751873339,0.12433133289449148
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,1-2,temperature_scaled,80,13,0.1625,1.807340155594338,0.8605728897199736,0.1912153268987996
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,2-2,raw,80,29,0.3625,1.6798299975804973,0.7840098349193433,0.13257468888491677
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,2-2,temperature_scaled,80,29,0.3625,1.6725566490611186,0.7867194158479481,0.125963904995739
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,3-2,raw,80,47,0.5875,1.0893627053506463,0.5256281011269867,0.24556410473011264
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,3-2,temperature_scaled,80,47,0.5875,1.0640898353706154,0.5116905723447838,0.1683777623238123
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,4-2,raw,80,28,0.35,1.8161624722024752,0.8320771765836057,0.19578780945943833
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,4-2,temperature_scaled,80,28,0.35,1.8681171545323445,0.855851140156787,0.21663604810399373
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,full,5-2,raw,80,26,0.325,1.8073317452381918,0.8409123871378827,0.2342608193400001
