method,direction,target_coverage,threshold,coverage,average_set_size,empty_set_fraction
shift_aware_group_conformal,cube1_to_cube2,0.9,0.06334891797804976,0.8048780487804879,0.8252032520325203,0.17479674796747968
shift_aware_group_conformal,cube2_to_cube1,0.9,0.11347249719625108,0.8134615384615385,0.8173076923076923,0.18269230769230768
iid_split_conformal,cube1_to_cube2,0.9,0.07214920768189037,0.8109756097560976,0.8353658536585366,0.16463414634146342
iid_split_conformal,cube2_to_cube1,0.9,0.10283594238460947,0.7980769230769231,0.801923076923077,0.19807692307692307
