method,classifier,balanced_accuracy,accuracy,macro_f1,negative_log_likelihood,expected_calibration_error,multiclass_brier_score
source_standardize,sg1_lda_shift_calibrated,0.9361213235294118,0.9347826086956522,0.9353603830264797,0.17875624113959868,0.009533011554888449,0.09308523272353533
target_standardize,sg1_lda_shift_calibrated,0.9505974264705882,0.9496047430830039,0.9502213174382695,0.15294403809902832,0.014947026182427086,0.07691768372940563
