protocol,model,held_out_cube,held_out_label,n_test_seeds,n_correct,accuracy
leave_one_cube_out,sg_smooth_lr,2-2,2,80,48,0.6
leave_one_cube_out,sg_smooth_lr,3-1,3,80,67,0.8375
leave_one_cube_out,sg_smooth_lr,3-2,3,80,60,0.75
leave_one_cube_out,sg_smooth_lr,4-1,4,90,76,0.8444444444444444
leave_one_cube_out,sg_smooth_lr,4-2,4,80,72,0.9
leave_one_cube_out,sg_smooth_lr,5-1,5,80,41,0.5125
leave_one_cube_out,sg_smooth_lr,5-2,5,80,26,0.325
leave_one_cube_out,sg_smooth_lr,6-1,6,80,26,0.325
leave_one_cube_out,sg_smooth_lr,6-2,6,80,31,0.3875
leave_one_cube_out,sg_smooth_lr,7-1,7,80,79,0.9875
leave_one_cube_out,sg_smooth_lr,7-2,7,54,51,0.9444444444444444
leave_one_cube_out,sg_first_derivative_lr,0-1,0,80,80,1.0
leave_one_cube_out,sg_first_derivative_lr,0-2,0,80,76,0.95
leave_one_cube_out,sg_first_derivative_lr,1-1,1,80,76,0.95
leave_one_cube_out,sg_first_derivative_lr,1-2,1,80,77,0.9625
leave_one_cube_out,sg_first_derivative_lr,2-1,2,80,40,0.5
leave_one_cube_out,sg_first_derivative_lr,2-2,2,80,22,0.275
leave_one_cube_out,sg_first_derivative_lr,3-1,3,80,77,0.9625
leave_one_cube_out,sg_first_derivative_lr,3-2,3,80,73,0.9125
leave_one_cube_out,sg_first_derivative_lr,4-1,4,90,49,0.5444444444444444
leave_one_cube_out,sg_first_derivative_lr,4-2,4,80,67,0.8375
leave_one_cube_out,sg_first_derivative_lr,5-1,5,80,29,0.3625
leave_one_cube_out,sg_first_derivative_lr,5-2,5,80,34,0.425
leave_one_cube_out,sg_first_derivative_lr,6-1,6,80,63,0.7875
leave_one_cube_out,sg_first_derivative_lr,6-2,6,80,79,0.9875
leave_one_cube_out,sg_first_derivative_lr,7-1,7,80,78,0.975
leave_one_cube_out,sg_first_derivative_lr,7-2,7,54,53,0.9814814814814815
