protocol,model,actual_label,predicted_label,count
random_seed_holdout,raw_pls_da,0,4,0
random_seed_holdout,raw_pls_da,0,5,0
random_seed_holdout,raw_pls_da,0,6,0
random_seed_holdout,raw_pls_da,0,7,0
random_seed_holdout,raw_pls_da,1,0,0
random_seed_holdout,raw_pls_da,1,1,38
random_seed_holdout,raw_pls_da,1,2,1
random_seed_holdout,raw_pls_da,1,3,0
random_seed_holdout,raw_pls_da,1,4,0
random_seed_holdout,raw_pls_da,1,5,1
random_seed_holdout,raw_pls_da,1,6,0
random_seed_holdout,raw_pls_da,1,7,0
random_seed_holdout,raw_pls_da,2,0,0
random_seed_holdout,raw_pls_da,2,1,1
random_seed_holdout,raw_pls_da,2,2,31
random_seed_holdout,raw_pls_da,2,3,0
random_seed_holdout,raw_pls_da,2,4,8
random_seed_holdout,raw_pls_da,2,5,0
random_seed_holdout,raw_pls_da,2,6,0
random_seed_holdout,raw_pls_da,2,7,0
random_seed_holdout,raw_pls_da,3,0,1
random_seed_holdout,raw_pls_da,3,1,0
random_seed_holdout,raw_pls_da,3,2,0
random_seed_holdout,raw_pls_da,3,3,39
random_seed_holdout,raw_pls_da,3,4,0
random_seed_holdout,raw_pls_da,3,5,0
random_seed_holdout,raw_pls_da,3,6,0
random_seed_holdout,raw_pls_da,3,7,0
random_seed_holdout,raw_pls_da,4,0,0
random_seed_holdout,raw_pls_da,4,1,0
random_seed_holdout,raw_pls_da,4,2,3
random_seed_holdout,raw_pls_da,4,3,0
random_seed_holdout,raw_pls_da,4,4,40
random_seed_holdout,raw_pls_da,4,5,0
random_seed_holdout,raw_pls_da,4,6,0
random_seed_holdout,raw_pls_da,4,7,0
random_seed_holdout,raw_pls_da,5,0,0
random_seed_holdout,raw_pls_da,5,1,0
random_seed_holdout,raw_pls_da,5,2,0
random_seed_holdout,raw_pls_da,5,3,0
random_seed_holdout,raw_pls_da,5,4,0
random_seed_holdout,raw_pls_da,5,5,37
random_seed_holdout,raw_pls_da,5,6,0
random_seed_holdout,raw_pls_da,5,7,3
random_seed_holdout,raw_pls_da,6,0,0
random_seed_holdout,raw_pls_da,6,1,0
random_seed_holdout,raw_pls_da,6,2,0
random_seed_holdout,raw_pls_da,6,3,0
random_seed_holdout,raw_pls_da,6,4,0
random_seed_holdout,raw_pls_da,6,5,0
random_seed_holdout,raw_pls_da,6,6,40
random_seed_holdout,raw_pls_da,6,7,0
random_seed_holdout,raw_pls_da,7,0,0
random_seed_holdout,raw_pls_da,7,1,0
random_seed_holdout,raw_pls_da,7,2,0
random_seed_holdout,raw_pls_da,7,3,0
random_seed_holdout,raw_pls_da,7,4,0
random_seed_holdout,raw_pls_da,7,5,0
random_seed_holdout,raw_pls_da,7,6,0
random_seed_holdout,raw_pls_da,7,7,33
random_seed_holdout,raw_rf,0,0,34
random_seed_holdout,raw_rf,0,1,0
random_seed_holdout,raw_rf,0,2,0
random_seed_holdout,raw_rf,0,3,6
random_seed_holdout,raw_rf,0,4,0
random_seed_holdout,raw_rf,0,5,0
random_seed_holdout,raw_rf,0,6,0
random_seed_holdout,raw_rf,0,7,0
random_seed_holdout,raw_rf,1,0,0
random_seed_holdout,raw_rf,1,1,22
random_seed_holdout,raw_rf,1,2,6
random_seed_holdout,raw_rf,1,3,0
random_seed_holdout,raw_rf,1,4,1
random_seed_holdout,raw_rf,1,5,9
random_seed_holdout,raw_rf,1,6,2
random_seed_holdout,raw_rf,1,7,0
random_seed_holdout,raw_rf,2,0,0
random_seed_holdout,raw_rf,2,1,3
random_seed_holdout,raw_rf,2,2,19
random_seed_holdout,raw_rf,2,3,1
random_seed_holdout,raw_rf,2,4,7
random_seed_holdout,raw_rf,2,5,2
random_seed_holdout,raw_rf,2,6,6
random_seed_holdout,raw_rf,2,7,2
random_seed_holdout,raw_rf,3,0,7
random_seed_holdout,raw_rf,3,1,0
random_seed_holdout,raw_rf,3,2,0
random_seed_holdout,raw_rf,3,3,33
random_seed_holdout,raw_rf,3,4,0
random_seed_holdout,raw_rf,3,5,0
random_seed_holdout,raw_rf,3,6,0
random_seed_holdout,raw_rf,3,7,0
random_seed_holdout,raw_rf,4,0,0
random_seed_holdout,raw_rf,4,1,1
random_seed_holdout,raw_rf,4,2,5
random_seed_holdout,raw_rf,4,3,0
random_seed_holdout,raw_rf,4,4,32
random_seed_holdout,raw_rf,4,5,0
random_seed_holdout,raw_rf,4,6,1
random_seed_holdout,raw_rf,4,7,4
random_seed_holdout,raw_rf,5,0,0
random_seed_holdout,raw_rf,5,1,4
random_seed_holdout,raw_rf,5,2,1
random_seed_holdout,raw_rf,5,3,0
random_seed_holdout,raw_rf,5,4,2
random_seed_holdout,raw_rf,5,5,20
random_seed_holdout,raw_rf,5,6,7
random_seed_holdout,raw_rf,5,7,6
random_seed_holdout,raw_rf,6,0,0
random_seed_holdout,raw_rf,6,1,4
random_seed_holdout,raw_rf,6,2,2
random_seed_holdout,raw_rf,6,3,0
random_seed_holdout,raw_rf,6,4,5
random_seed_holdout,raw_rf,6,5,9
random_seed_holdout,raw_rf,6,6,19
random_seed_holdout,raw_rf,6,7,1
random_seed_holdout,raw_rf,7,0,0
random_seed_holdout,raw_rf,7,1,1
random_seed_holdout,raw_rf,7,2,0
random_seed_holdout,raw_rf,7,3,0
random_seed_holdout,raw_rf,7,4,1
random_seed_holdout,raw_rf,7,5,1
random_seed_holdout,raw_rf,7,6,2
random_seed_holdout,raw_rf,7,7,28
random_seed_holdout,snv_lr,0,0,40
random_seed_holdout,snv_lr,0,1,0
random_seed_holdout,snv_lr,0,2,0
random_seed_holdout,snv_lr,0,3,0
random_seed_holdout,snv_lr,0,4,0
random_seed_holdout,snv_lr,0,5,0
random_seed_holdout,snv_lr,0,6,0
