outer_batch,inner_validation_batch,selected_epoch,early_stopping_epochs_run,inner_validation_balanced_accuracy,outer_balanced_accuracy,outer_macro_f1
0,1,65,83,0.9285714285714286,0.8915441176470589,0.8847714908315115
1,2,83,101,0.9149816176470589,0.9060530462184874,0.9031981340923465
2,3,110,120,0.882155987394958,0.9535845588235294,0.9522634577139584
3,4,103,120,0.9613970588235294,0.889968487394958,0.890261880417609
4,5,42,60,0.9149816176470589,0.8602941176470589,0.8579187590952296
5,6,45,63,0.9227941176470589,0.8598345588235294,0.8608949102723544
6,7,96,114,0.9356971153846154,0.9227941176470589,0.9205513057685406
7,0,93,111,0.953125,0.8810096153846154,0.8787946794499213
