model,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error
frozen_pipeline,252,0.9325396825396826,0.9331518665158371,0.9326995348185876,0.23227021428664865,0.12434042360163441,0.0472102940007547
snv_lr_baseline,252,0.8531746031746031,0.8547970871040724,0.8437944053262278,0.6149439462772879,0.2486396742154279,0.09414977353382384
sg1_source_std,252,0.9126984126984127,0.9140801753393666,0.9124319757177506,0.38251399082078,0.14126715209242116,0.06897147730901271
sg1_target_std_calibrated,252,0.9325396825396826,0.9331518665158371,0.9326995348185876,0.34853464643664717,0.12687653093342466,0.0664765751700376
