representation,cross_cube_balanced_accuracy
raw,0.8517837690631809
snv,0.8682704418572985
msc,0.8652833095043573
sg1,0.9361213235294118
sg2,0.9057542721949892
SNV-LR,0.8574048543028323
"SG1-LDA
(source std)",0.9361213235294118
"SG1-LDA
(+target norm
+calibration)",0.9505974264705882
