direction,model,condition,calibration,seed_42_balanced_accuracy,seed_2024_balanced_accuracy,seed_2025_balanced_accuracy,seed_mean_balanced_accuracy,seed_sd_balanced_accuracy,ensemble_accuracy,ensemble_balanced_accuracy,ensemble_macro_f1,ensemble_nll,ensemble_brier,ensemble_ece_10
suffix_1_to_2,snv_lr,full,raw,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8436482084690554,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,spatial_shuffle,raw,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8436482084690554,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,mean_broadcast,raw,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8436482084690554,0.8492476851851852,0.8393768223057032,0.6622825791758318,0.25598834606509807,0.08170466167678005
suffix_1_to_2,snv_lr,mask_only,raw,0.125,0.125,0.125,0.125,0.0,0.13029315960912052,0.125,0.02881844380403458,21.750248221306894,1.3231994209192905,0.5363735070575462
suffix_1_to_2,spectral_only,full,raw,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5195439739413681,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,spatial_shuffle,raw,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5195439739413681,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,mean_broadcast,raw,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5195439739413681,0.5247685185185186,0.49036648246715875,1.6979900898163272,0.7597075693280562,0.31325563376059573
suffix_1_to_2,spectral_only,mask_only,raw,0.125,0.125,0.125,0.125,0.0,0.08794788273615635,0.125,0.020209580838323353,2.325545826704762,0.9869741987461644,0.31516360804310367
suffix_1_to_2,fusion_net,full,raw,0.3018518518518518,0.3128472222222222,0.4558449074074074,0.3568479938271605,0.08590993083576871,0.4022801302931596,0.4197916666666667,0.37747100240496645,1.6808856152777087,0.749246584383801,0.09614298242275747
suffix_1_to_2,fusion_net,spatial_shuffle,raw,0.290162037037037,0.29560185185185184,0.41290509259259256,0.3328896604938271,0.06934875576943665,0.3925081433224756,0.41041666666666665,0.36576840608130134,1.7075117230138825,0.760313750773431,0.08129019124606769
