sign_assignment_index,null_mean_effect
0,-0.13151041666666666
1,-0.10651041666666666
2,-0.16744791666666667
3,-0.14244791666666667
4,-0.12369791666666666
5,-0.09869791666666666
6,-0.15963541666666667
7,-0.13463541666666667
8,-0.13098958333333333
9,-0.10598958333333333
10,-0.16692708333333334
11,-0.14192708333333334
12,-0.12317708333333333
13,-0.09817708333333333
14,-0.15911458333333334
15,-0.13411458333333334
16,-0.04557291666666666
17,-0.020572916666666663
18,-0.08151041666666667
19,-0.056510416666666674
20,-0.03776041666666666
21,-0.012760416666666663
22,-0.07369791666666667
23,-0.048697916666666674
24,-0.045052083333333326
25,-0.02005208333333333
26,-0.08098958333333334
27,-0.05598958333333334
28,-0.037239583333333326
29,-0.012239583333333331
30,-0.07317708333333334
31,-0.04817708333333334
32,-0.10182291666666665
33,-0.07682291666666666
34,-0.13776041666666666
35,-0.11276041666666667
36,-0.09401041666666665
37,-0.06901041666666666
38,-0.12994791666666666
39,-0.10494791666666667
40,-0.10130208333333332
41,-0.07630208333333333
42,-0.13723958333333333
43,-0.11223958333333334
44,-0.09348958333333332
45,-0.06848958333333333
46,-0.12942708333333333
47,-0.10442708333333334
48,-0.015885416666666652
49,0.009114583333333343
50,-0.05182291666666666
51,-0.02682291666666667
52,-0.008072916666666652
53,0.016927083333333343
54,-0.04401041666666666
55,-0.01901041666666667
56,-0.01536458333333332
57,0.009635416666666674
58,-0.05130208333333333
59,-0.026302083333333337
60,-0.00755208333333332
61,0.017447916666666674
62,-0.04348958333333333
63,-0.018489583333333337
64,-0.07369791666666667
65,-0.048697916666666674
66,-0.10963541666666668
67,-0.08463541666666669
68,-0.06588541666666667
69,-0.040885416666666674
70,-0.10182291666666668
71,-0.07682291666666669
72,-0.07317708333333334
73,-0.04817708333333334
74,-0.10911458333333335
75,-0.08411458333333335
76,-0.06536458333333334
77,-0.04036458333333334
78,-0.10130208333333335
79,-0.07630208333333335
80,0.012239583333333335
81,0.037239583333333326
82,-0.023697916666666676
83,0.0013020833333333183
84,0.020052083333333335
85,0.045052083333333326
86,-0.015885416666666676
87,0.009114583333333318
88,0.012760416666666666
89,0.03776041666666666
90,-0.023177083333333345
91,0.0018229166666666498
92,0.020572916666666666
93,0.04557291666666666
94,-0.015364583333333345
95,0.00963541666666665
96,-0.04401041666666666
97,-0.01901041666666667
98,-0.07994791666666667
99,-0.05494791666666668
100,-0.03619791666666666
101,-0.011197916666666669
102,-0.07213541666666667
103,-0.04713541666666668
104,-0.04348958333333333
105,-0.018489583333333337
106,-0.07942708333333334
107,-0.05442708333333335
108,-0.03567708333333333
109,-0.010677083333333337
110,-0.07161458333333334
111,-0.04661458333333335
112,0.04192708333333334
113,0.06692708333333333
114,0.005989583333333326
115,0.03098958333333332
116,0.04973958333333334
117,0.07473958333333333
118,0.013802083333333326
119,0.03880208333333332
120,0.04244791666666667
121,0.06744791666666666
122,0.006510416666666657
123,0.03151041666666665
124,0.05026041666666667
125,0.07526041666666666
126,0.014322916666666657
127,0.03932291666666665
128,-0.03932291666666665
129,-0.014322916666666657
130,-0.07526041666666666
131,-0.05026041666666667
132,-0.03151041666666665
133,-0.006510416666666657
134,-0.06744791666666666
135,-0.04244791666666667
136,-0.03880208333333332
137,-0.013802083333333326
138,-0.07473958333333333
139,-0.04973958333333334
140,-0.03098958333333332
141,-0.005989583333333326
142,-0.06692708333333333
143,-0.04192708333333334
144,0.04661458333333335
145,0.07161458333333334
146,0.010677083333333337
147,0.03567708333333333
148,0.05442708333333335
149,0.07942708333333334
150,0.018489583333333337
151,0.04348958333333333
152,0.04713541666666668
153,0.07213541666666667
154,0.011197916666666669
155,0.03619791666666666
156,0.05494791666666668
157,0.07994791666666667
158,0.01901041666666667
159,0.04401041666666666
160,-0.00963541666666665
161,0.015364583333333345
162,-0.04557291666666666
163,-0.020572916666666666
164,-0.0018229166666666498
165,0.023177083333333345
166,-0.03776041666666666
167,-0.012760416666666666
168,-0.009114583333333318
169,0.015885416666666676
170,-0.045052083333333326
171,-0.020052083333333335
172,-0.0013020833333333183
173,0.023697916666666676
174,-0.037239583333333326
175,-0.012239583333333335
176,0.07630208333333335
177,0.10130208333333335
178,0.04036458333333334
179,0.06536458333333334
180,0.08411458333333335
181,0.10911458333333335
182,0.04817708333333334
183,0.07317708333333334
184,0.07682291666666669
185,0.10182291666666668
186,0.040885416666666674
187,0.06588541666666667
188,0.08463541666666669
189,0.10963541666666668
190,0.048697916666666674
191,0.07369791666666667
192,0.018489583333333337
193,0.04348958333333333
194,-0.017447916666666674
195,0.00755208333333332
196,0.026302083333333337
197,0.05130208333333333
198,-0.009635416666666674
199,0.01536458333333332
200,0.01901041666666667
201,0.04401041666666666
202,-0.016927083333333343
203,0.008072916666666652
204,0.02682291666666667
205,0.05182291666666666
206,-0.009114583333333343
207,0.015885416666666652
208,0.10442708333333334
209,0.12942708333333333
210,0.06848958333333333
211,0.09348958333333332
212,0.11223958333333334
213,0.13723958333333333
214,0.07630208333333333
215,0.10130208333333332
216,0.10494791666666667
217,0.12994791666666666
218,0.06901041666666666
219,0.09401041666666665
220,0.11276041666666667
221,0.13776041666666666
222,0.07682291666666666
223,0.10182291666666665
224,0.04817708333333334
225,0.07317708333333334
226,0.012239583333333331
227,0.037239583333333326
228,0.05598958333333334
229,0.08098958333333334
230,0.02005208333333333
231,0.045052083333333326
232,0.048697916666666674
233,0.07369791666666667
234,0.012760416666666663
235,0.03776041666666666
236,0.056510416666666674
237,0.08151041666666667
238,0.020572916666666663
239,0.04557291666666666
240,0.13411458333333334
241,0.15911458333333334
242,0.09817708333333333
243,0.12317708333333333
244,0.14192708333333334
245,0.16692708333333334
246,0.10598958333333333
247,0.13098958333333333
248,0.13463541666666667
249,0.15963541666666667
250,0.09869791666666666
251,0.12369791666666666
252,0.14244791666666667
253,0.16744791666666667
254,0.10651041666666666
255,0.13151041666666666
